# Time-averaged data for fix 2
tstep t T P density a b c Etot Eke Epe Epair
5000 110020 128.738 98.7373 1.17981 38.3137 38.3137 38.3137 -723.751 387.961 -1111.71 -1111.71
10000 130020 129.428 99.6065 1.18268 38.2788 38.2788 38.2788 -728.268 387.279 -1115.55 -1115.55
15000 150020 128.113 99.6677 1.18444 38.2599 38.2599 38.2599 -728.897 387.24 -1116.14 -1116.14
20000 170020 134.768 100.277 1.18879 38.2134 38.2134 38.2134 -734.736 386.664 -1121.4 -1121.4
25000 190020 129.905 99.6331 1.1899 38.2016 38.2016 38.2016 -736.085 386.611 -1122.7 -1122.7
30000 210020 128.674 100.255 1.19143 38.1853 38.1853 38.1853 -737.255 386.214 -1123.47 -1123.47
35000 230020 134.841 100.632 1.18596 38.2433 38.2433 38.2433 -730.203 387.507 -1117.71 -1117.71
40000 250020 138.253 99.3046 1.18539 38.2497 38.2497 38.2497 -731.924 386.434 -1118.36 -1118.36
45000 270020 134.191 99.4493 1.18699 38.2327 38.2327 38.2327 -732.616 386.954 -1119.57 -1119.57
50000 290020 129.118 99.9205 1.18853 38.2162 38.2162 38.2162 -733.784 386.889 -1120.67 -1120.67
