# Time-averaged data for fix 2
tstep t T P Etot Eke Epe Epair
2500 5020 133.361 69.6183 -495.064 440.583 -935.646 -935.646
5000 15020 132.416 -63.8327 -572.335 387.073 -959.408 -959.408
7500 25020 126.784 -61.1158 -574.734 386.748 -961.482 -961.482
10000 35020 132.405 -48.8183 -572.249 388.166 -960.415 -960.415
12500 45020 130.295 -58.1587 -572.075 387.22 -959.295 -959.295
15000 55020 126.42 -67.1378 -571.381 387.392 -958.773 -958.773
17500 65020 131.879 -62.6685 -568.502 388.139 -956.641 -956.641
20000 75020 127.362 -59.5154 -571.93 386.981 -958.911 -958.911
22500 85020 124.925 -64.7908 -570.989 386.942 -957.931 -957.931
25000 95020 134.307 -72.5562 -570.072 386.197 -956.269 -956.269
