# Time-averaged data for fix 3
tstep t T P density a b c Etot Eke Epe Epair
0 100000 134.307 -57.7707 0.9999 40.4807 40.4807 40.4807 -557.694 399.943 -957.637 -957.637
25 100100 131.8 -40.6065 1.00871 40.3625 40.3625 40.3625 -571.708 392.479 -964.187 -964.187
50 100200 129.552 39.9405 1.03215 40.0546 40.0546 40.0546 -589.946 385.785 -975.731 -975.731
75 100300 135.645 91.5137 1.05828 39.7222 39.7222 39.7222 -595.596 403.927 -999.524 -999.524
100 100400 134.243 113.169 1.07742 39.4856 39.4856 39.4856 -615.929 399.752 -1015.68 -1015.68
125 100500 131.792 105.194 1.0893 39.3415 39.3415 39.3415 -634.241 392.453 -1026.69 -1026.69
150 100600 133.492 34.7598 1.09829 39.2338 39.2338 39.2338 -651.475 397.516 -1048.99 -1048.99
175 100700 128.739 62.9591 1.111 39.0837 39.0837 39.0837 -670.268 383.363 -1053.63 -1053.63
200 100800 128.454 125.962 1.12496 38.9214 38.9214 38.9214 -672.687 382.513 -1055.2 -1055.2
225 100900 133.523 121.542 1.13469 38.8098 38.8098 38.8098 -668.154 397.609 -1065.76 -1065.76
250 101000 129.233 86.5004 1.14109 38.737 38.737 38.737 -689.772 384.834 -1074.61 -1074.61
275 101100 126.229 83.5362 1.14762 38.6635 38.6635 38.6635 -702.472 375.889 -1078.36 -1078.36
300 101200 133.027 72.2954 1.15521 38.5786 38.5786 38.5786 -693.838 396.133 -1089.97 -1089.97
325 101300 133.323 86.1755 1.16456 38.4751 38.4751 38.4751 -701.242 397.013 -1098.25 -1098.25
350 101400 125.029 142.339 1.17366 38.3754 38.3754 38.3754 -722.104 372.314 -1094.42 -1094.42
375 101500 133.026 87.4731 1.17889 38.3185 38.3185 38.3185 -718.916 396.13 -1115.05 -1115.05
400 101600 130.651 96.2962 1.18372 38.2664 38.2664 38.2664 -726.868 389.057 -1115.93 -1115.93
425 101700 127.909 81.7494 1.18892 38.2105 38.2105 38.2105 -742.675 380.892 -1123.57 -1123.57
450 101800 124.38 133.827 1.19466 38.1492 38.1492 38.1492 -748.494 370.383 -1118.88 -1118.88
475 101900 138.244 140.421 1.19674 38.1271 38.1271 38.1271 -715.291 411.666 -1126.96 -1126.96
500 102000 133.472 135.341 1.1945 38.1509 38.1509 38.1509 -727.242 397.457 -1124.7 -1124.7
525 102100 124.542 145.924 1.18831 38.217 38.217 38.217 -742.118 370.866 -1112.98 -1112.98
550 102200 128.6 100.965 1.17829 38.3251 38.3251 38.3251 -728.204 382.95 -1111.15 -1111.15
575 102300 130.818 74.2404 1.16878 38.4287 38.4287 38.4287 -713.831 389.555 -1103.39 -1103.39
600 102400 131.861 28.8023 1.1635 38.4868 38.4868 38.4868 -712.491 392.658 -1105.15 -1105.15
625 102500 128.718 39.5851 1.16568 38.4627 38.4627 38.4627 -720.897 383.301 -1104.2 -1104.2
650 102600 124.873 68.1066 1.17377 38.3742 38.3742 38.3742 -735.73 371.851 -1107.58 -1107.58
675 102700 123.664 109.53 1.18434 38.2597 38.2597 38.2597 -743.446 368.25 -1111.7 -1111.7
700 102800 132.005 167.05 1.1925 38.1722 38.1722 38.1722 -719.336 393.087 -1112.42 -1112.42
725 102900 134.701 152.856 1.19328 38.1639 38.1639 38.1639 -714.945 401.118 -1116.06 -1116.06
750 103000 128.106 122.276 1.18848 38.2152 38.2152 38.2152 -731.574 381.477 -1113.05 -1113.05
775 103100 128.093 70.7042 1.18227 38.282 38.282 38.282 -734.658 381.44 -1116.1 -1116.1
800 103200 129.804 68.5161 1.17923 38.3149 38.3149 38.3149 -726.91 386.533 -1113.44 -1113.44
825 103300 131.874 95.1061 1.17957 38.3112 38.3112 38.3112 -717.311 392.699 -1110.01 -1110.01
850 103400 140.7 111.493 1.18039 38.3023 38.3023 38.3023 -694.19 418.981 -1113.17 -1113.17
875 103500 132.664 159.663 1.17913 38.316 38.316 38.316 -705.018 395.05 -1100.07 -1100.07
900 103600 124.364 144.041 1.17222 38.3911 38.3911 38.3911 -720.744 370.336 -1091.08 -1091.08
925 103700 130.85 61.5453 1.16188 38.5046 38.5046 38.5046 -707.68 389.648 -1097.33 -1097.33
950 103800 132.596 40.3045 1.15589 38.5711 38.5711 38.5711 -700.2 394.849 -1095.05 -1095.05
975 103900 127.317 79.3716 1.15641 38.5652 38.5652 38.5652 -707.491 379.129 -1086.62 -1086.62
1000 104000 128.648 87.5852 1.15946 38.5314 38.5314 38.5314 -706.631 383.093 -1089.72 -1089.72
1025 104100 136.778 95.1483 1.1633 38.489 38.489 38.489 -689.037 407.302 -1096.34 -1096.34
1050 104200 131.063 126.729 1.16681 38.4503 38.4503 38.4503 -701.218 390.282 -1091.5 -1091.5
1075 104300 125.837 122.314 1.16761 38.4416 38.4416 38.4416 -715.852 374.722 -1090.57 -1090.57
1100 104400 132.322 59.2194 1.16693 38.449 38.449 38.449 -711.061 394.033 -1105.09 -1105.09
1125 104500 130.913 64.6427 1.16987 38.4168 38.4168 38.4168 -716.216 389.838 -1106.05 -1106.05
1150 104600 126.588 34.6746 1.17726 38.3362 38.3362 38.3362 -742.36 376.956 -1119.32 -1119.32
1175 104700 128.564 85.8463 1.19033 38.1954 38.1954 38.1954 -744.053 382.84 -1126.89 -1126.89
1200 104800 131.565 175.307 1.20388 38.0516 38.0516 38.0516 -737.463 391.779 -1129.24 -1129.24
1225 104900 131.058 220.466 1.20818 38.0064 38.0064 38.0064 -734.455 390.268 -1124.72 -1124.72
1250 105000 132.592 122.843 1.20105 38.0814 38.0814 38.0814 -739.878 394.837 -1134.72 -1134.72
1275 105100 126.012 59.2283 1.19206 38.177 38.177 38.177 -757.894 375.241 -1133.14 -1133.14
1300 105200 122.883 101.48 1.18735 38.2273 38.2273 38.2273 -751.204 365.926 -1117.13 -1117.13
1325 105300 130.486 99.6914 1.18348 38.269 38.269 38.269 -726.307 388.564 -1114.87 -1114.87
1350 105400 133.528 42.1732 1.1806 38.3001 38.3001 38.3001 -724.997 397.624 -1122.62 -1122.62
1375 105500 127.404 66.1896 1.18341 38.2697 38.2697 38.2697 -740.603 379.386 -1119.99 -1119.99
1400 105600 126.37 117.701 1.18923 38.2072 38.2072 38.2072 -742.302 376.309 -1118.61 -1118.61
1425 105700 134.169 149.857 1.19266 38.1705 38.1705 38.1705 -721.115 399.531 -1120.65 -1120.65
1450 105800 134.235 140.43 1.19094 38.1888 38.1888 38.1888 -720.455 399.728 -1120.18 -1120.18
1475 105900 129.705 102.261 1.1852 38.2504 38.2504 38.2504 -731.539 386.239 -1117.78 -1117.78
1500 106000 128.971 59.9983 1.17984 38.3083 38.3083 38.3083 -733.535 384.055 -1117.59 -1117.59
1525 106100 128.864 77.5608 1.17852 38.3226 38.3226 38.3226 -727.782 383.734 -1111.52 -1111.52
1550 106200 134.324 98.9549 1.17947 38.3123 38.3123 38.3123 -710.781 399.994 -1110.78 -1110.78
1575 106300 133.78 99.3876 1.18054 38.3007 38.3007 38.3007 -713.074 398.375 -1111.45 -1111.45
1600 106400 125.913 62.4018 1.18191 38.2859 38.2859 38.2859 -741.542 374.947 -1116.49 -1116.49
1625 106500 127.68 89.6625 1.18681 38.2331 38.2331 38.2331 -739.236 380.21 -1119.45 -1119.45
1650 106600 130.263 172.045 1.19184 38.1793 38.1793 38.1793 -723.321 387.901 -1111.22 -1111.22
1675 106700 133.66 153.095 1.18988 38.2002 38.2002 38.2002 -715.646 398.016 -1113.66 -1113.66
1700 106800 129.826 100.029 1.18235 38.2811 38.2811 38.2811 -725.719 386.6 -1112.32 -1112.32
1725 106900 127.513 58.4353 1.17493 38.3615 38.3615 38.3615 -731.485 379.711 -1111.2 -1111.2
1750 107000 129.373 42.7835 1.17221 38.3912 38.3912 38.3912 -727.587 385.252 -1112.84 -1112.84
1775 107100 131.311 46.5813 1.17579 38.3522 38.3522 38.3522 -727.105 391.022 -1118.13 -1118.13
1800 107200 129.193 107.501 1.18412 38.262 38.262 38.262 -730.539 384.715 -1115.25 -1115.25
1825 107300 129.676 133.557 1.19161 38.1817 38.1817 38.1817 -732.492 386.154 -1118.65 -1118.65
1850 107400 128.496 137.608 1.19519 38.1436 38.1436 38.1436 -736.779 382.639 -1119.42 -1119.42
1875 107500 129.242 118.892 1.19439 38.1521 38.1521 38.1521 -735.131 384.862 -1119.99 -1119.99
1900 107600 133.057 102.467 1.19154 38.1825 38.1825 38.1825 -725.279 396.222 -1121.5 -1121.5
1925 107700 133.212 80.4583 1.18885 38.2112 38.2112 38.2112 -728.569 396.682 -1125.25 -1125.25
1950 107800 123.752 102.32 1.1878 38.2225 38.2225 38.2225 -748.833 368.513 -1117.35 -1117.35
1975 107900 128.54 84.4488 1.18691 38.2321 38.2321 38.2321 -738.73 382.772 -1121.5 -1121.5
2000 108000 129.811 115.47 1.18705 38.2305 38.2305 38.2305 -727.436 386.556 -1113.99 -1113.99
2025 108100 130.504 115.655 1.18599 38.2419 38.2419 38.2419 -724.375 388.619 -1112.99 -1112.99
2050 108200 129.517 113.738 1.18344 38.2694 38.2694 38.2694 -725.16 385.68 -1110.84 -1110.84
2075 108300 128.723 105.288 1.1799 38.3076 38.3076 38.3076 -723.598 383.314 -1106.91 -1106.91
2100 108400 136.269 74.1678 1.17681 38.3411 38.3411 38.3411 -705.356 405.784 -1111.14 -1111.14
2125 108500 130.158 117.301 1.17573 38.3529 38.3529 38.3529 -709.235 387.589 -1096.82 -1096.82
2150 108600 126.839 72.3316 1.17416 38.3699 38.3699 38.3699 -724.598 377.705 -1102.3 -1102.3
2175 108700 127.151 56.8696 1.17557 38.3545 38.3545 38.3545 -731.023 378.634 -1109.66 -1109.66
2200 108800 130.364 144.022 1.17995 38.3071 38.3071 38.3071 -713.611 388.203 -1101.81 -1101.81
