# Time-averaged data for fix 3
tstep t T P Etot Eke Epe Epair
0 0 130 40177.1 10274.8 387.118 9887.66 9887.66
25 100 969.398 6025.93 2842.71 2886.7 -43.9963 -43.9963
50 200 336.663 2131.5 367.01 1002.52 -635.514 -635.514
75 300 171.153 898.651 -307.374 509.665 -817.039 -817.039
100 400 124.3 211.202 -562.838 370.143 -932.981 -932.981
125 500 107.757 -100.854 -660.01 320.882 -980.892 -980.892
150 600 116.483 -172.037 -643.26 346.865 -990.125 -990.125
175 700 141.243 -109.098 -559.759 420.599 -980.357 -980.357
200 800 142.752 -18.9155 -532.949 425.092 -958.041 -958.041
225 900 124.784 -6.90542 -574.401 371.586 -945.986 -945.986
250 1000 122.833 -71.0633 -592.858 365.775 -958.634 -958.634
275 1100 130.385 -81.3174 -574.59 388.263 -962.853 -962.853
300 1200 137.594 -92.5984 -557.985 409.73 -967.715 -967.715
325 1300 130.443 -115.295 -580.51 388.437 -968.946 -968.946
350 1400 121.585 -117.826 -603.399 362.059 -965.457 -965.457
375 1500 126.444 -92.1615 -584.745 376.53 -961.275 -961.275
400 1600 138.857 -72.7562 -548.14 413.491 -961.631 -961.631
425 1700 134.238 -58.0745 -555.34 399.739 -955.08 -955.08
450 1800 123.653 -68.3414 -583.431 368.217 -951.648 -951.648
475 1900 127.031 -104.004 -582.957 378.277 -961.234 -961.234
500 2000 131.687 -80.0153 -565.558 392.142 -957.7 -957.7
525 2100 134.084 -71.236 -556.606 399.279 -955.886 -955.886
550 2200 131.229 -105.853 -570.59 390.778 -961.369 -961.369
575 2300 124.548 -115.765 -589.123 370.883 -960.006 -960.006
600 2400 127.683 -112.025 -580.853 380.219 -961.072 -961.072
625 2500 132.49 -68.5122 -558.807 394.533 -953.341 -953.341
650 2600 135.673 -71.6952 -551.39 404.012 -955.401 -955.401
675 2700 130.807 -111.835 -573.642 389.52 -963.162 -963.162
700 2800 122.833 -122.829 -596.829 365.775 -962.604 -962.604
725 2900 125.847 -100.244 -584.378 374.751 -959.129 -959.129
750 3000 136.467 -62.9966 -549.905 406.374 -956.28 -956.28
775 3100 136.435 -50.4593 -549.106 406.28 -955.386 -955.386
800 3200 126.544 -73.8417 -580.584 376.827 -957.411 -957.411
825 3300 124.813 -119.584 -595.318 371.67 -966.989 -966.989
850 3400 128.018 -101.921 -582.842 381.216 -964.058 -964.058
875 3500 131.657 -29.4493 -557.489 392.053 -949.542 -949.542
900 3600 136.704 -19.4322 -544.457 407.081 -951.538 -951.538
925 3700 129.822 -29.1517 -564.141 386.587 -950.728 -950.728
950 3800 126.371 -87.4461 -583.856 376.312 -960.168 -960.168
975 3900 129.7 -146.849 -585.733 386.225 -971.957 -971.957
1000 4000 128.875 -129.204 -583.213 383.769 -966.982 -966.982
1025 4100 126.935 -61.6206 -574.459 377.991 -952.45 -952.45
1050 4200 135.672 -62.1527 -554.453 404.007 -958.46 -958.46
1075 4300 134.382 -79.0743 -561.855 400.168 -962.022 -962.022
1100 4400 126.211 -118.654 -592.177 375.834 -968.012 -968.012
1125 4500 122.692 -113.822 -600.709 365.354 -966.063 -966.063
1150 4600 131.541 -87.4084 -573.906 391.705 -965.612 -965.612
1175 4700 135.635 -33.9296 -552.886 403.899 -956.784 -956.784
1200 4800 130.171 -0.772816 -560.658 387.628 -948.285 -948.285
1225 4900 127.279 -10.747 -570.375 379.014 -949.389 -949.389
1250 5000 130.751 -45.5838 -568.664 389.353 -958.017 -958.017
1275 5100 129.772 -44.9212 -568.414 386.438 -954.852 -954.852
1300 5200 131.98 -83.1147 -570.057 393.013 -963.07 -963.07
1325 5300 129.222 -94.9535 -579.601 384.8 -964.401 -964.401
